ticket,strategy,magic,direction,volume,entry_time,entry_price,exit_time,exit_price,pnl,commission,net_pnl,exit_reason,stop_loss,take_profit,entry_bid,entry_ask
90000000,sanqing_h1_SELL,880107,SELL,0.01,2026-07-15 16:05:48,4024.98,,,,,,,4067.41,1905.54,4024.48,4024.88
90000001,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-15 16:12:39,4022.24,,,,,,,4002.16,5022.02,4021.59,4021.99
90000002,rsi_grading_m30_optimized_SELL,660903,SELL,0.01,2026-07-15 16:13:45,4019.99,,,,,,,4033.18,3380.04,4018.54,4018.94
90000000,,,,,,,2026-07-15 16:16:54,4021.8,3.18,1.0,2.18,,,,,
90000003,sanqing_h1_BUY,880107,BUY,0.01,2026-07-15 16:18:49,4024.42,,,,,,,3978.89,6299.46,4024.02,4024.42
90000001,,,,,,,2026-07-15 16:36:15,4024.9,2.66,1.0,1.66,,,,,
90000002,,,,,,,2026-07-15 16:57:17,4032.42,-12.43,1.0,-13.43,,,,,
90000003,,,,,,,2026-07-15 17:25:08,4028.91,4.49,1.0,3.49,,,,,
90000004,sanqing_h1_SELL,880107,SELL,0.01,2026-07-16 00:01:50,4045.81,,,,,,,4108.41,902.16,4045.92,4046.32
90000005,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-16 00:03:56,4043.32,,,,,,,4013.83,5511.37,4043.01,4043.41
90000006,mfi_bb_m30_optimized_SELL,661002,SELL,0.01,2026-07-16 00:04:59,4042.94,,,,,,,4245.36,40.43,4043.28,4043.68
90000006,,,,,,,2026-07-16 00:05:30,4044.57,-1.63,1.0,-2.63,,,,,
90000004,,,,,,,2026-07-16 00:49:42,4035.78,10.03,1.0,9.03,,,,,
90000005,,,,,,,2026-07-16 02:57:25,4060.16,16.84,1.0,15.84,,,,,
90000007,sanqing_h1_SELL,880107,SELL,0.01,2026-07-16 06:47:48,4059.66,,,,,,,4091.7,2454.91,4059.66,4060.07
90000008,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-16 07:02:51,4060.37,,,,,,,4048.54,4669.1,4060.31,4060.71
90000009,rsi_grading_m30_optimized_BUY,660903,BUY,0.01,2026-07-16 07:07:40,4061.22,,,,,,,4054.4,4405.6,4060.86,4061.26
90000007,,,,,,,2026-07-16 08:22:31,4058.93,0.73,1.0,-0.27,,,,,
90000010,sanqing_h1_BUY,880107,BUY,0.01,2026-07-16 08:23:43,4059.89,,,,,,,4037.83,5158.76,4059.66,4060.07
90000009,,,,,,,2026-07-16 08:44:26,4054.85,-6.37,1.0,-7.37,,,,,
90000008,,,,,,,2026-07-16 08:55:14,4051.81,-8.56,1.0,-9.56,,,,,
90000010,,,,,,,2026-07-16 09:00:18,4046.48,-13.41,1.0,-14.41,,,,,
90000011,sanqing_h1_BUY,880107,BUY,0.01,2026-07-16 15:48:52,4031.35,,,,,,,3989.44,6127.89,4031.41,4031.81
90000012,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-16 16:02:07,4031.09,,,,,,,4046.73,3250.23,4032.75,4033.15
90000013,mfi_bb_m30_optimized_BUY,661002,BUY,0.01,2026-07-16 16:03:11,4033.58,,,,,,,3832.47,40341.8,4032.96,4033.36
90000013,,,,,,,2026-07-16 16:03:29,4032.72,-0.86,1.0,-1.86,,,,,
90000012,,,,,,,2026-07-16 16:17:11,4028.84,2.25,1.0,1.25,,,,,
90000011,,,,,,,2026-07-16 17:23:34,4033.72,2.37,1.0,1.37,,,,,
90000014,sanqing_h1_BUY,880107,BUY,0.01,2026-07-16 22:44:15,4003.21,,,,,,,3900.68,9129.13,4002.85,4003.25
90000015,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-17 00:00:59,4003.86,,,,,,,4045.31,1947.39,4003.78,4004.18
90000016,rsi_grading_m30_optimized_SELL,660903,SELL,0.01,2026-07-17 00:03:30,4001.65,,,,,,,4023.41,2964.83,4001.57,4001.97
90000016,,,,,,,2026-07-17 00:50:36,3994.51,7.14,1.0,6.14,,,,,
